asin,first_three_words,shortened_product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B08PNCYYVZ,"Apple iPhone 12,","Apple iPhone 12, 128GB, Black ",$287.30 ,$314.99 ,USD,4.1,25638,20,$284.92 ,2K+ bought in past month,FREE delivery Sep 24 - 26 Only 1 left in stock - order soon.
B0DC6L8DXL,SPIDERCASE Magnetic for,SPIDERCASE Magnetic for iPhone,$9.99 ,$19.99 ,USD,4.3,158,1,$9.99 ,100+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0BTFHM2GZ,Panasonic Cordless Phone,Panasonic Cordless Phone with ,$159.99 ,$179.99 ,USD,4.3,1325,3,$98.03 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CV4NH5T9,SAMSUNG Galaxy A35,SAMSUNG Galaxy A35 5G A Series,$349.99 ,$399.99 ,USD,4.4,266,3,$313.91 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B09BTB5MKT,Motorola Moto G,Motorola Moto G Pure | 2021 | ,$98.93 ,$159.99 ,USD,4.1,2079,7,$80.04 ,300+ bought in past month,"FREE delivery Wed, Sep 25"
B0BV5SV5HL,Samsung Galaxy S23,Samsung Galaxy S23 Ultra 5G SM,$799.99 ,$859.99 ,USD,4.4,380,11,$759.50 ,400+ bought in past month,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20"
B09LKXHWCF,Apple iPhone 13,"Apple iPhone 13 Mini, 128GB, B",$355.81 ,$415.00 ,USD,4.1,4265,20,$303.99 ,500+ bought in past month,"FREE delivery Tomorrow, Sep 20"
B092NTYZ78,Panasonic Compact Cordless,Panasonic Compact Cordless Pho,$19.89 ,$24.99 ,USD,4.2,5617,3,$12.14 ,1K+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B09V5LDZQ4,Samsung Galaxy S22,"Samsung Galaxy S22 Smartphone,",$225.62 ,$379.99 ,USD,4.0,1980,38,$204.00 ,2K+ bought in past month,"FREE delivery Fri, Sep 27 Or fastest delivery Tomorrow, Sep 20 Only 11 left in stock - order soon."
B0CQ9SZJN6,"OnePlus 12R, 16GB","OnePlus 12R, 16GB RAM+256GB, D",$549.99 ,$599.99 ,USD,4.4,397,2,$493.11 ,400+ bought in past month,"FREE delivery Tue, Sep 24"
B09SNPBN6B,Moto G Power,Moto G Power | 2022 | 3-Day Ba,$179.99 ,$199.99 ,USD,4.2,10670,6,$79.79 ,List: ,"FREE delivery Tue, Sep 24 Only 17 left in stock - order soon."
B09LG4PSB6,Samsung Galaxy S20,Samsung Galaxy S20 FE 5G 128GB,$152.93 ,$478.98 ,USD,4.1,1184,31,$133.99 ,500+ bought in past month,FREE delivery Sep 23 - 24 Only 20 left in stock - order soon.
B0BLZN9NDG,"SAMSUNG,Galaxy A04e (SM-A042M/DS)","SAMSUNG,Galaxy A04e (SM-A042M/",$88.99 ,$105.00 ,USD,3.8,700,10,$70.00 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
